,gkz,ort,lat,lon
23446,08335057,Mühlingen,47.91191101074219,9.015520095825195
23454,08335096,Hohenfels,47.887001037597656,9.109760284423828
23469,08435047,Owingen,47.809818267822266,9.17350959777832
23471,08435053,Sipplingen,47.79547882080078,9.096320152282715
23475,08437005,Beuron,48.04985046386719,8.969779968261719
23490,08437124,Herdwangen-Schönach,47.86288833618164,9.1693696975708
23630,08335026,Gailingen am Hochrhein,47.69684982299805,8.754989624023438
23788,08435005,Bermatingen,47.730979919433594,9.348349571228027
23789,08435010,Daisendorf,47.71168899536133,9.267789840698242
23790,08435013,Eriskirch,47.62976837158203,9.528599739074707
23791,08435015,Frickingen,47.81039047241211,9.270649909973145
23793,08435018,Hagnau am Bodensee,47.676361083984375,9.319549560546875
23799,08435045,Oberteuringen,47.7242317199707,9.468810081481934
23803,08435054,Stetten,47.692440032958984,9.299969673156738
23807,08435067,Deggenhausertal,47.78335189819336,9.391550064086914
23815,08437056,Illmensee,47.86225891113281,9.37479019165039
23936,08335015,Büsingen am Hochrhein,47.697021484375,8.692819595336914
23962,08337070,Lottstetten,47.62575912475586,8.569629669189453
24149,08336024,Fischingen,47.64999008178711,7.598710060119629
24157,08336075,Schallbach,47.65705871582031,7.627590179443359
24162,08336100,Wittlingen,47.65620040893555,7.6484198570251465
24181,08336082,Schwörstadt,47.593788146972656,7.879889965057373
24198,08336090,Utzenfeld,47.800540924072266,7.913010120391846
24281,08336025,Fröhnd,47.76028823852539,7.88394021987915
24282,08336034,Hasel,47.65394973754883,7.897860050201416
24298,08336094,Wembach,47.773460388183594,7.885879993438721
24304,08336106,Häg-Ehrsberg,47.74317932128906,7.906290054321289
24415,08336004,Aitern,47.80316925048828,7.895219802856445
24420,08336080,Schönenberg,47.79269027709961,7.882279872894287
24424,08336089,Tunau,47.78580856323242,7.923140048980713
24645,08337027,Dachsberg (Südschwarzwald),47.728458404541016,8.100879669189453
24688,08337124,Eggingen,47.69276809692383,8.393810272216797
24695,08337059,Ibach,47.73257827758789,8.070719718933105
24776,08337030,Dettighofen,47.623741149902344,8.483570098876953
25095,08415048,Mehrstetten,48.37520980834961,9.56326961517334
25579,08437082,Neufra,48.244510650634766,9.183850288391113
25582,08437114,Veringenstadt,48.179779052734375,9.214090347290039
